,Measure,Ethnicity,Ethnicity_type,Time,Time_type,Geography,Geography_type,Gender,Age Bracket,NS SEC,Physical Activity Level,Value,Value_type,Denominator (weighted),Numerator (weighted),Upper CI,Lower CI,Number of Respondents (unweighted)
1424,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,West Midlands,Country,All,16+,All,Fairly active,13.4,%,19373,2588,14.10%,12.60%,17282
1425,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,West Midlands,Country,All,16+,All,Fairly active,13.4,%,14809,1989,14.20%,12.70%,14556
1426,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,West Midlands,Country,All,16+,All,Fairly active,11.8,%,830,98,15.50%,8.90%,621
1427,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,West Midlands,Country,All,16+,All,Fairly active,14,%,1992,278,17.50%,11.00%,918
1428,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,West Midlands,Country,All,16+,All,Fairly active,14.9,%,454,68,21.50%,10.10%,243
1429,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,West Midlands,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1430,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,West Midlands,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1431,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,West Midlands,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1432,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,Yorkshire and the Humber,Country,All,16+,All,Fairly active,12.6,%,18256,2304,13.40%,11.90%,14380
1433,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,Yorkshire and the Humber,Country,All,16+,All,Fairly active,12.3,%,15415,1899,13.10%,11.60%,12772
1434,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,Yorkshire and the Humber,Country,All,16+,All,Fairly active,16.1,%,636,102,22.10%,11.50%,409
1435,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,Yorkshire and the Humber,Country,All,16+,All,Fairly active,14.7,%,1050,154,19.20%,11.10%,435
1436,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,Yorkshire and the Humber,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1437,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,Yorkshire and the Humber,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1438,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,Yorkshire and the Humber,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1439,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,Yorkshire and the Humber,Country,All,16+,All,Fairly active,?,%,?,?,?,?,?
1440,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-24,All,Fairly active,9.1,%,25495,2312,9.80%,8.40%,11628
1441,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-24,All,Fairly active,8.4,%,17179,1439,9.20%,7.70%,8514
1442,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-24,All,Fairly active,6.7,%,1312,88,9.40%,4.70%,614
1443,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-24,All,Fairly active,11.9,%,3100,370,14.90%,9.50%,977
1444,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-24,All,Fairly active,11.8,%,1126,133,16.00%,8.50%,386
1445,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-24,All,Fairly active,?,%,?,?,?,?,?
1446,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-24,All,Fairly active,8.2,%,1215,99,11.70%,5.60%,470
1447,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,16-24,All,Fairly active,?,%,?,?,?,?,?
1448,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,25-34,All,Fairly active,12.1,%,30876,3749,12.70%,11.60%,23178
1449,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,25-34,All,Fairly active,11.7,%,20718,2426,12.40%,11.10%,16887
1450,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,25-34,All,Fairly active,10.8,%,3425,370,12.60%,9.20%,2455
1451,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,25-34,All,Fairly active,14.8,%,3023,448,17.40%,12.60%,1592
1452,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,25-34,All,Fairly active,15.5,%,797,124,21.00%,11.20%,407
1453,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,25-34,All,Fairly active,13.1,%,422,55,18.60%,9.00%,248
1454,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,25-34,All,Fairly active,11.1,%,905,100,15.00%,8.10%,512
1455,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,25-34,All,Fairly active,?,%,?,?,?,?,?
1456,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,35-44,All,Fairly active,12.9,%,28549,3672,13.40%,12.30%,28899
1457,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,35-44,All,Fairly active,12.7,%,19397,2469,13.30%,12.10%,21109
1458,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,35-44,All,Fairly active,11.6,%,2890,335,13.20%,10.10%,2875
1459,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,35-44,All,Fairly active,13.6,%,3028,411,15.50%,11.80%,2156
1460,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,35-44,All,Fairly active,13.7,%,809,111,17.60%,10.60%,599
1461,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,35-44,All,Fairly active,13.6,%,281,38,19.60%,9.20%,250
1462,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,35-44,All,Fairly active,12.8,%,570,73,17.70%,9.00%,442
1463,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,35-44,All,Fairly active,19.4,%,484,94,25.50%,14.50%,373
1464,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,45-54,All,Fairly active,13.1,%,31355,4096,13.60%,12.50%,31499
1465,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,45-54,All,Fairly active,12.9,%,25326,3258,13.40%,12.30%,26472
1466,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,45-54,All,Fairly active,12.7,%,1434,182,15.10%,10.60%,1496
1467,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,45-54,All,Fairly active,15.5,%,1807,280,19.00%,12.50%,1165
1468,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,45-54,All,Fairly active,14.7,%,928,137,19.10%,11.20%,621
1469,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,45-54,All,Fairly active,?,%,?,?,?,?,?
1470,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,45-54,All,Fairly active,10.1,%,406,41,14.80%,6.80%,314
1471,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,45-54,All,Fairly active,14.1,%,305,43,20.50%,9.50%,240
1472,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,55-64,All,Fairly active,13,%,26136,3387,13.50%,12.50%,35126
1473,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,55-64,All,Fairly active,12.9,%,22652,2932,13.50%,12.40%,31531
1474,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,55-64,All,Fairly active,11.8,%,778,92,14.70%,9.40%,1026
1475,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,55-64,All,Fairly active,13.9,%,919,128,18.10%,10.50%,649
1476,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,55-64,All,Fairly active,15.2,%,471,71,21.60%,10.40%,364
1477,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,55-64,All,Fairly active,?,%,?,?,?,?,?
1478,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,55-64,All,Fairly active,?,%,?,?,?,?,?
1479,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,55-64,All,Fairly active,?,%,?,?,?,?,?
1480,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,65-74,All,Fairly active,14.2,%,23273,3312,14.70%,13.80%,35307
1481,Percentage of people at each activity level,White-British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,65-74,All,Fairly active,14.1,%,21076,2961,14.50%,13.60%,32633
1482,Percentage of people at each activity level,White-Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,65-74,All,Fairly active,14.8,%,604,90,18.30%,11.90%,830
1483,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,65-74,All,Fairly active,18.8,%,499,94,23.80%,14.60%,455
1484,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,65-74,All,Fairly active,?,%,?,?,?,?,?
1485,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,65-74,All,Fairly active,?,%,?,?,?,?,?
1486,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,65-74,All,Fairly active,?,%,?,?,?,?,?
1487,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2017/18,Financial year,England,Country,All,65-74,All,Fairly active,?,%,?,?,?,?,?
